:START_ID,:END_ID,type:TYPE
(Barbara)_Hazel_Guggenheim_King-Farlow_McKinley,Benjamin_Guggenheim,PARENT
(Barbara)_Hazel_Guggenheim_King-Farlow_McKinley,Peggy_Guggenheim,RELATIVE
(Barbara)_Hazel_Guggenheim_King-Farlow_McKinley,S._Marshall_Kempner,SPOUSE
10_Gigabit_Ethernet_Alliance,Ethernet_Alliance,SUCCESSOR
1Sky,350.org,MERGEDWITH
1in6,Anthony_Edwards_(actor),KEYPERSON
2014_Isla_Vista_killings,George_Rodger,RELATIVE
2018_Google_data_breach,Vic_Gundotra,FOUNDEDBY
2by2,2by2,HOMEPAGE
314_Action,314_Action,FOUNDEDBY
350_Bay_Area,350.org,PARENTORGANISATION
5uper.net,5uper.net,HOMEPAGE
635_Group,Anti-Fascist_Action,AFFILIATION
826LA,826_National,AFFILIATION
826LA,B._J._Novak,MAINORGAN
826LA,Catherine_Keener,MAINORGAN
826LA,J._J._Abrams,MAINORGAN
826LA,Judd_Apatow,MAINORGAN
826LA,Keri_Putnam,MAINORGAN
826LA,Melissa_Mathison,MAINORGAN
826LA,Miranda_July,MAINORGAN
826LA,Nicole_Holofcener,MAINORGAN
826LA,Sarah_Vowell,MAINORGAN
826LA,Spike_Jonze,MAINORGAN
826NYC,Sarah_Vowell,KEYPERSON
826_National,826_National,LOCATION
A'Lelia_Walker,Madam_C._J._Walker,PARENT
A.Z.M._Enayetullah_Khan,Abu_Zafar_Obaidullah,RELATIVE
A.Z.M._Enayetullah_Khan,Sadek_Khan,RELATIVE
A._A._Allen,Donald_Lee_Stewart_(preacher),SUCCESSOR
A._Alfred_Taubman,Robert_S._Taubman,CHILD
A._Arnold_Gillespie,Ruth_Elder,SPOUSE
A._B._Raj,Saranya_Ponvannan,CHILD
A._B._Stoddard,Brandon_Stoddard,PARENT
A._Bhimsingh,B._Kannan,CHILD
A._Bhimsingh,B._Lenin,CHILD
A._Bhimsingh,Sukumari,SPOUSE
A._C._Dixon,Thomas_Dixon_Jr.,RELATIVE
A._C._Lyles,Martha_Vickers,SPOUSE
A._C._Muthiah,M._A._Chidambaram,PARENT
A._Craig_Copetas,Harriman_Institute,EDUCATION
A._D._King,Christine_King_Farris,RELATIVE
A._Edward_Sutherland,Blanche_Ring,RELATIVE
A._Edward_Sutherland,Cyril_Ring,RELATIVE
A._Edward_Sutherland,Louise_Brooks,SPOUSE
A._Edward_Sutherland,Marjorie_Daw_(actress),SPOUSE
A._Felix_du_Pont,A._Felix_du_Pont_Jr.,CHILD
A._Felix_du_Pont,Alice_du_Pont_Mills,CHILD
